"","Place.FIPS","Geography.Name","County.FIPS","County.Name","Total.Population","Population.Density..Per.Sq..Mile.","Area..Land.","Under.5.Years","X5.to.9.Years","X10.to.14.Years","X15.to.17.Years","X18.to.24.Years","X25.to.34.Years","X35.to.44.Years","X45.to.54.Years","X55.to.64.Years","X65.to.74.Years","X75.to.84.Years","X85.Years.and.Over","White.Alone","Black.or.African.American.Alone","American.Indian.and.Alaska.Native.Alone","Asian.Alone","Native.Hawaiian.and.Other.Pacific.Islander.Alone","Some.Other.Race.Alone","Two.or.More.Races","Not.Hispanic.or.Latino.","Hispanic.or.Latino","Population.25.Years.and.Over.","Less.than.High.School","High.School.Graduate..Includes.Equivalency.","Some.College","Bachelor.s.Degree","Master.s.Degree","Professional.School.Degree","Doctorate.Degree","Population.25.Years.and.Over..1","Less.than.High.School.1","High.School.Diploma","Bachelor.s.Degree.or.Better","Households.","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..19.999","X.20.000.to..24.999","X.25.000.to..29.999","X.30.000.to..34.999","X.35.000.to..39.999","X.40.000.to..44.999","X.45.000.to..49.999","X.50.000.to..59.999","X.60.000.to..74.999","X.75.000.to..99.999","X.100.000.to..124.999","X.125.000.to..149.999","X.150.000.to..199.999","X.200.000.or.More","Median.Household.Income..In.2020.Inflation.Adjusted.Dollars.","Median.Household.Income.Occupied.Housing.Units.","Owner.Occupied","Renter.Occupied","Per.Capita.Income..In.2020.Inflation.Adjusted.Dollars.","Occupied.Housing.Units.","Owner.Occupied.1","Renter.Occupied.1","Owner.Occupied.Housing.Units.","White.Alone..Not.Hispanic.or.Latino.Homeowners.","Non.White.Homeowners","Owner.Occupied.Housing.Units..1","Less.than..20.000","X.20.000.to..49.999","X.50.000.to..99.999","X.100.000.to..149.999","X.150.000.to..299.999","X.300.000.to..499.999","X.500.000.to..749.999","X.750.000.to..999.999","X.1.000.000.or.More","Population.Under.18.Years.of.Age.for.Whom.Poverty.Status.Is.Determined.","Living.in.Poverty","At.or.Above.Poverty.Level","Population.Age.18.to.64.for.Whom.Poverty.Status..Is.Determined.","Living.in.Poverty.1","At.or.Above.Poverty.Level.1","Population.Age.65.and.Over.for.Whom.Poverty..Status.Is.Determined.","Living.in.Poverty.2","At.or.Above.Poverty.Level.2","Rural.Capacity..Headwaters.Index.","Social.Vulnerability..CDC.Index.","Percent.of.Land.in.500.Year.Floodplain","Percent.of.Land.in.100.Year.Floodplain","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Application.Number","Project.Title","Project.Description","Applicant","Applicant.Type","Project.Type","Application.Date","State.Agency.Requested.for.Funding","Funding.Request....","Total.Project.Budget....","Funding.Decision.Year","Award.Date","Grant.Award....","Encumbered....","City.Town","County","Place.ID","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD","X0.2.PCT.ANNUAL.CHANCE.FLOOD.HAZARD.CONTAINED.IN.CHANNEL","X0.2.PCT.ANNUAL.CHANCE.HAZARD","A","AE","VE","X.blank.","Grand.Total"
"1",3700160,"Aberdeen town","125","Moore",7862,774.8,10.15,849,723,277,116,434,1116,1279,821,821,706,589,131,6449,1092,73,1,0,89,158,7524,338,5463,306,1271,1917,1380,505,66,18,5463,306,3188,1969,3136,79,147,138,95,217,172,251,77,72,350,542,377,282,130,107,100,58770,58770,62137,35563,28117,3136,2107,1029,2107,1692,415,2107,0,0,153,358,1165,418,13,0,0,1962,100,1862,4462,378,4084,1313,61,1252,74,0.48,0.43,4.22,4.65,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.43,NA,NA,NA,4.22,NA,NA,4.65
"2",3700440,"Advance CDP","59","Davie",1135,158.5,7.16,141,116,87,33,0,139,102,182,183,87,65,0,1105,30,0,0,0,0,0,1135,0,758,80,199,275,175,16,13,0,758,80,474,204,392,0,24,31,0,30,0,0,34,37,0,17,54,62,44,43,16,90461,90461,90691,NA,32419,392,359,33,359,340,19,359,0,13,74,11,139,122,0,0,0,377,75,302,606,80,526,152,13,139,NA,0.18,0.08,10.22,10.3,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.08,NA,NA,NA,10.22,NA,NA,10.3
"3",3700500,"Ahoskie town","91","Hertford",4819,1095,4.4,256,178,312,196,445,739,442,518,764,500,282,187,1270,3089,93,144,4,21,198,4654,165,3432,738,1159,937,407,147,35,9,3432,738,2096,598,1906,261,182,152,126,112,106,77,117,93,180,143,179,86,42,33,17,35972,35972,51875,26494,20640,1906,791,1115,791,301,490,791,20,57,373,161,153,17,1,3,6,940,301,639,2841,623,2218,803,160,643,67,0.86,1.37,10.22,11.59,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,1.37,NA,NA,NA,10.22,NA,NA,11.59
"4",3700640,"Alamance village","1","Alamance",1280,1609.8,0.8,15,108,152,98,69,81,233,186,152,140,29,17,1166,48,7,4,0,43,12,1237,43,838,31,158,271,252,94,21,11,838,31,429,378,419,0,5,7,9,7,15,10,9,2,22,75,64,35,43,79,37,89688,89688,97083,NA,37828,419,397,22,397,367,30,397,14,2,34,26,82,219,20,0,0,373,0,373,721,4,717,186,6,180,68,0.16,1.44,4.64,6.09,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,1.44,NA,NA,NA,4.64,NA,NA,6.09
"5",3700680,"Albemarle city","167","Stanly",16073,920.6,17.46,1008,1324,876,449,1350,2335,1450,1664,2102,1869,1061,585,11106,3781,252,159,0,318,457,14902,1171,11066,1715,3280,4172,1398,338,139,24,11066,1715,7452,1899,6258,726,432,416,246,366,228,398,363,323,410,736,657,273,314,190,180,44294,44294,66227,21763,24404,6258,3493,2765,3493,2932,561,3493,43,154,1022,960,1088,165,45,0,16,3640,1264,2376,8783,1697,7086,3107,433,2674,87,0.67,0.64,7.19,7.83,20,"Little Long Creek 2 Watershed Plan","The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ","City of Albemarle","Local Government","Planning","6/15/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"10/6/22",250000,250000,"Albemarle","Stanly",NA,0.64,NA,NA,NA,7.19,NA,NA,7.83
"6",3701000,"Alliance town","137","Pamlico",1104,529.2,2.09,84,25,17,69,116,75,29,102,129,232,119,107,864,204,0,0,0,4,32,1034,70,793,172,307,265,39,10,0,0,793,172,572,49,440,54,84,21,11,47,6,18,13,14,78,37,19,10,19,7,2,32500,32500,48625,11797,19872,440,321,119,321,266,55,321,18,40,106,51,100,6,0,0,0,195,20,175,451,100,351,400,87,313,56,0.91,9.79,19.27,29.06,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,9.79,NA,NA,NA,19.27,NA,NA,29.06
"7",3701140,"Altamahaw CDP","1","Alamance",369,271.9,1.36,8,7,61,12,16,70,0,52,103,29,0,11,369,0,0,0,0,0,0,369,0,265,33,129,81,0,22,0,0,265,33,210,22,167,0,0,0,0,38,38,0,0,0,17,0,51,10,0,13,0,NA,NA,NA,NA,30404,167,161,6,161,161,0,161,0,29,60,59,0,13,0,0,0,88,0,88,241,0,241,40,0,40,NA,0.41,0.76,11.58,12.34,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,0.76,NA,NA,NA,11.58,NA,NA,12.34
"8",3701340,"Anderson Creek CDP","85","Harnett",14899,764.1,19.5,1661,1593,1335,527,1019,2680,2101,1808,1195,595,337,48,8776,3890,214,226,89,570,1134,12126,2773,8764,696,1871,3674,1490,846,114,73,8764,696,5545,2523,4471,297,88,131,240,210,114,190,210,120,408,476,755,429,326,244,233,68033,68033,74596,55707,25323,4471,2913,1558,2913,1701,1212,2913,162,129,331,283,1596,387,24,1,0,5063,1153,3910,8803,1045,7758,980,102,878,NA,0.46,0.2,3.39,3.59,2,"Town-wide Hydrologic + Hydraulic (H+H) Analysis","Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.","Town of Lillington","Local Government","Planning","2/23/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"6/2/22",225250,225250,"Lillington","Harnett",NA,0.2,NA,NA,NA,3.39,NA,NA,3.59
"9",3701380,"Andrews town","39","Cherokee",1915,1112.6,1.72,76,106,218,97,217,74,208,303,140,264,152,60,1745,94,60,0,0,14,2,1741,174,1201,254,436,403,68,33,0,7,1201,254,839,108,789,85,59,96,76,92,31,0,12,59,131,15,72,16,20,8,17,29612,29612,29478,33182,18938,789,477,312,477,424,53,477,83,19,179,104,83,9,0,0,0,473,275,198,934,223,711,421,79,342,46,0.81,5.79,14.96,20.76,NA,"","","","","","","",NA,NA,NA,"",NA,NA,"","",NA,5.79,NA,NA,NA,14.96,NA,NA,20.76
"10",3701400,"Angier town","85","Harnett",5748,1796.7,3.2,518,285,490,304,528,811,700,680,616,440,270,106,3736,936,77,31,0,865,103,4197,1551,3623,629,1054,1010,646,236,35,13,3623,629,2064,930,2104,272,59,101,155,74,112,68,207,100,100,183,403,133,69,12,56,45132,45132,70282,21138,22455,2104,1305,799,1305,965,340,1305,9,0,62,524,583,99,28,0,0,1570,206,1364,3322,467,2855,799,128,671,NA,0.57,0.22,3.04,3.26,2,"Town-wide Hydrologic + Hydraulic (H+H) Analysis","Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.","Town of Lillington","Local Government","Planning","2/23/22","Golden LEAF Foundation Flood Mitigation Program",NA,NA,2022,"6/2/22",225250,225250,"Lillington","Harnett",NA,0.22,NA,NA,NA,3.04,NA,NA,3.26
