Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino:,Hispanic or Latino,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,Per Capita Income (In 2020 Inflation Adjusted Dollars),Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town,County,Place ID
Aberdeen town,125,Moore,3700160.0,7862.0,774.8,10.15,849.0,723.0,277.0,116.0,434.0,1116.0,1279.0,821.0,821.0,706.0,589.0,131.0,6449.0,1092.0,73.0,1.0,0.0,89.0,158.0,7524.0,338.0,5463.0,306.0,1271.0,1917.0,1380.0,505.0,66.0,18.0,5463.0,306.0,3188.0,1969.0,3136.0,79.0,147.0,138.0,95.0,217.0,172.0,251.0,77.0,72.0,350.0,542.0,377.0,282.0,130.0,107.0,100.0,58770.0,58770.0,62137.0,35563.0,28117.0,3136.0,2107.0,1029.0,2107.0,1692.0,415.0,2107.0,0.0,0.0,153.0,358.0,1165.0,418.0,13.0,0.0,0.0,1962.0,100.0,1862.0,4462.0,378.0,4084.0,1313.0,61.0,1252.0,74.0,0.48,0.43,4.22,4.65,,,,,,,,,,,,,,,,,
Advance CDP,59,Davie,3700440.0,1135.0,158.5,7.16,141.0,116.0,87.0,33.0,0.0,139.0,102.0,182.0,183.0,87.0,65.0,0.0,1105.0,30.0,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,758.0,80.0,199.0,275.0,175.0,16.0,13.0,0.0,758.0,80.0,474.0,204.0,392.0,0.0,24.0,31.0,0.0,30.0,0.0,0.0,34.0,37.0,0.0,17.0,54.0,62.0,44.0,43.0,16.0,90461.0,90461.0,90691.0,,32419.0,392.0,359.0,33.0,359.0,340.0,19.0,359.0,0.0,13.0,74.0,11.0,139.0,122.0,0.0,0.0,0.0,377.0,75.0,302.0,606.0,80.0,526.0,152.0,13.0,139.0,,0.18,0.08,10.22,10.3,,,,,,,,,,,,,,,,,
Ahoskie town,91,Hertford,3700500.0,4819.0,1095.0,4.4,256.0,178.0,312.0,196.0,445.0,739.0,442.0,518.0,764.0,500.0,282.0,187.0,1270.0,3089.0,93.0,144.0,4.0,21.0,198.0,4654.0,165.0,3432.0,738.0,1159.0,937.0,407.0,147.0,35.0,9.0,3432.0,738.0,2096.0,598.0,1906.0,261.0,182.0,152.0,126.0,112.0,106.0,77.0,117.0,93.0,180.0,143.0,179.0,86.0,42.0,33.0,17.0,35972.0,35972.0,51875.0,26494.0,20640.0,1906.0,791.0,1115.0,791.0,301.0,490.0,791.0,20.0,57.0,373.0,161.0,153.0,17.0,1.0,3.0,6.0,940.0,301.0,639.0,2841.0,623.0,2218.0,803.0,160.0,643.0,67.0,0.86,1.37,10.22,11.59,,,,,,,,,,,,,,,,,
Alamance village,1,Alamance,3700640.0,1280.0,1609.8,0.8,15.0,108.0,152.0,98.0,69.0,81.0,233.0,186.0,152.0,140.0,29.0,17.0,1166.0,48.0,7.0,4.0,0.0,43.0,12.0,1237.0,43.0,838.0,31.0,158.0,271.0,252.0,94.0,21.0,11.0,838.0,31.0,429.0,378.0,419.0,0.0,5.0,7.0,9.0,7.0,15.0,10.0,9.0,2.0,22.0,75.0,64.0,35.0,43.0,79.0,37.0,89688.0,89688.0,97083.0,,37828.0,419.0,397.0,22.0,397.0,367.0,30.0,397.0,14.0,2.0,34.0,26.0,82.0,219.0,20.0,0.0,0.0,373.0,0.0,373.0,721.0,4.0,717.0,186.0,6.0,180.0,68.0,0.16,1.44,4.64,6.09,,,,,,,,,,,,,,,,,
Albemarle city,167,Stanly,3700680.0,16073.0,920.6,17.46,1008.0,1324.0,876.0,449.0,1350.0,2335.0,1450.0,1664.0,2102.0,1869.0,1061.0,585.0,11106.0,3781.0,252.0,159.0,0.0,318.0,457.0,14902.0,1171.0,11066.0,1715.0,3280.0,4172.0,1398.0,338.0,139.0,24.0,11066.0,1715.0,7452.0,1899.0,6258.0,726.0,432.0,416.0,246.0,366.0,228.0,398.0,363.0,323.0,410.0,736.0,657.0,273.0,314.0,190.0,180.0,44294.0,44294.0,66227.0,21763.0,24404.0,6258.0,3493.0,2765.0,3493.0,2932.0,561.0,3493.0,43.0,154.0,1022.0,960.0,1088.0,165.0,45.0,0.0,16.0,3640.0,1264.0,2376.0,8783.0,1697.0,7086.0,3107.0,433.0,2674.0,87.0,0.67,0.64,7.19,7.83,20.0,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,10/6/22,250000.0,250000.0,Albemarle,Stanly,
Alexis CDP,71,Gaston,3700880.0,818.0,414.1,1.98,28.0,56.0,11.0,0.0,76.0,74.0,89.0,66.0,30.0,136.0,212.0,40.0,661.0,129.0,0.0,10.0,0.0,0.0,18.0,806.0,12.0,647.0,52.0,223.0,359.0,9.0,0.0,0.0,4.0,647.0,52.0,582.0,13.0,358.0,0.0,28.0,9.0,16.0,4.0,119.0,6.0,12.0,23.0,21.0,58.0,30.0,0.0,32.0,0.0,0.0,36250.0,36250.0,34811.0,,23289.0,358.0,310.0,48.0,310.0,274.0,36.0,310.0,0.0,4.0,44.0,64.0,150.0,48.0,0.0,0.0,0.0,95.0,0.0,95.0,335.0,48.0,287.0,388.0,20.0,368.0,,0.35,,,,,,,,,,,,,,,,,,,,
Alliance town,137,Pamlico,3701000.0,1104.0,529.2,2.09,84.0,25.0,17.0,69.0,116.0,75.0,29.0,102.0,129.0,232.0,119.0,107.0,864.0,204.0,0.0,0.0,0.0,4.0,32.0,1034.0,70.0,793.0,172.0,307.0,265.0,39.0,10.0,0.0,0.0,793.0,172.0,572.0,49.0,440.0,54.0,84.0,21.0,11.0,47.0,6.0,18.0,13.0,14.0,78.0,37.0,19.0,10.0,19.0,7.0,2.0,32500.0,32500.0,48625.0,11797.0,19872.0,440.0,321.0,119.0,321.0,266.0,55.0,321.0,18.0,40.0,106.0,51.0,100.0,6.0,0.0,0.0,0.0,195.0,20.0,175.0,451.0,100.0,351.0,400.0,87.0,313.0,56.0,0.91,9.79,19.27,29.06,,,,,,,,,,,,,,,,,
Altamahaw CDP,1,Alamance,3701140.0,369.0,271.9,1.36,8.0,7.0,61.0,12.0,16.0,70.0,0.0,52.0,103.0,29.0,0.0,11.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,265.0,33.0,129.0,81.0,0.0,22.0,0.0,0.0,265.0,33.0,210.0,22.0,167.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,17.0,0.0,51.0,10.0,0.0,13.0,0.0,,,,,30404.0,167.0,161.0,6.0,161.0,161.0,0.0,161.0,0.0,29.0,60.0,59.0,0.0,13.0,0.0,0.0,0.0,88.0,0.0,88.0,241.0,0.0,241.0,40.0,0.0,40.0,,0.41,0.76,11.58,12.34,,,,,,,,,,,,,,,,,
Anderson Creek CDP,85,Harnett,3701340.0,14899.0,764.1,19.5,1661.0,1593.0,1335.0,527.0,1019.0,2680.0,2101.0,1808.0,1195.0,595.0,337.0,48.0,8776.0,3890.0,214.0,226.0,89.0,570.0,1134.0,12126.0,2773.0,8764.0,696.0,1871.0,3674.0,1490.0,846.0,114.0,73.0,8764.0,696.0,5545.0,2523.0,4471.0,297.0,88.0,131.0,240.0,210.0,114.0,190.0,210.0,120.0,408.0,476.0,755.0,429.0,326.0,244.0,233.0,68033.0,68033.0,74596.0,55707.0,25323.0,4471.0,2913.0,1558.0,2913.0,1701.0,1212.0,2913.0,162.0,129.0,331.0,283.0,1596.0,387.0,24.0,1.0,0.0,5063.0,1153.0,3910.0,8803.0,1045.0,7758.0,980.0,102.0,878.0,,0.46,0.2,3.39,3.59,2.0,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022.0,6/2/22,225250.0,225250.0,Lillington,Harnett,
Andrews town,39,Cherokee,3701380.0,1915.0,1112.6,1.72,76.0,106.0,218.0,97.0,217.0,74.0,208.0,303.0,140.0,264.0,152.0,60.0,1745.0,94.0,60.0,0.0,0.0,14.0,2.0,1741.0,174.0,1201.0,254.0,436.0,403.0,68.0,33.0,0.0,7.0,1201.0,254.0,839.0,108.0,789.0,85.0,59.0,96.0,76.0,92.0,31.0,0.0,12.0,59.0,131.0,15.0,72.0,16.0,20.0,8.0,17.0,29612.0,29612.0,29478.0,33182.0,18938.0,789.0,477.0,312.0,477.0,424.0,53.0,477.0,83.0,19.0,179.0,104.0,83.0,9.0,0.0,0.0,0.0,473.0,275.0,198.0,934.0,223.0,711.0,421.0,79.0,342.0,46.0,0.81,5.79,14.96,20.76,,,,,,,,,,,,,,,,,
