"","Geography.Name","Grant.Award....","Total.Percent.of.Land.at.Some.Level.of.Flood.Risk","Ratio.Risk"
"1","Kelly CDP",132000,99.42,1327.70066385033
"2","Belhaven town",225000,100,2250
"3","Elizabeth City city",1e+05,43.66,2290.42601923958
"4","Manns Harbor CDP",250000,100,2500
"5","Manteo town",250000,100,2500
"6","Fair Bluff town",175000,69.96,2501.42938822184
"7","Kitty Hawk town",250000,99.35,2516.35631605435
"8","Kill Devil Hills town",250000,99.16,2521.17789431222
"9","Frisco CDP",250000,98.96,2526.27324171382
"10","North Topsail Beach town",250000,98.72,2532.41491085899
"11","Avon CDP",250000,98.64,2534.46877534469
"12","Buxton CDP",250000,98.37,2541.4252312697
"13","Nags Head town",250000,97.76,2557.28314238953
"14","Caswell Beach town",250000,97.5,2564.10256410256
"15","Holden Beach town",250000,97.49,2564.36557595651
"16","Hatteras CDP",250000,97.16,2573.07533964594
"17","Lumberton city",122500,44.88,2729.5008912656
"18","Fairfield Harbour CDP",249760,87.82,2843.99908904578
"19","Fairfield Harbour CDP",250000,87.82,2846.73195171943
"20","Bath town",225000,77.68,2896.49845520082
"21","Bald Head Island village",250000,83.26,3002.64232524622
"22","Duck town",250000,79.16,3158.16068721577
"23","Bridgeton town",249760,75.18,3322.16014897579
"24","Bridgeton town",250000,75.18,3325.35248736366
"25","Ocean Isle Beach town",250000,72.93,3427.94460441519
"26","Hertford town",90000,23.8,3781.51260504202
"27","Smithfield town",137500,33.35,4122.93853073463
"28","Bayview CDP",225000,53.1,4237.28813559322
"29","Aurora town",225000,52.34,4298.81543752388
"30","Boardman town",175000,37.63,4650.54477810258
"31","James City CDP",249760,53.25,4690.32863849765
"32","James City CDP",250000,53.25,4694.83568075117
"33","Chinquapin CDP",250000,51,4901.96078431373
"34","Dublin town",132000,25.9908860759494,5078.70334294397
"35","East Arcadia town",132000,25.9908860759494,5078.70334294397
"36","Micro town",137500,25.9908860759494,5290.31598223331
"37","Ivanhoe CDP",250000,45,5555.55555555556
"38","Lumberton city",250000,44.88,5570.40998217469
"39","Bent Creek CDP",150000,25.9908860759494,5771.25379879997
"40","River Bend town",249760,42.21,5917.08126036484
"41","River Bend town",250000,42.21,5922.76711679697
"42","Cherry Branch CDP",249760,41.82,5972.26207556193
"43","Cherry Branch CDP",250000,41.82,5978.00095648015
"44","Cape Colony CDP",249300,41.38,6024.64958917351
"45","Arrowhead Beach CDP",249300,39.87,6252.82167042889
"46","Long Creek CDP",250000,39.01,6408.61317610869
"47","Brunswick town",175000,25.9908860759494,6733.1294319333
"48","Autryville town",250000,36.93,6769.56404007582
"49","Bladenboro town",132000,18.6,7096.77419354839
"50","Lake Waccamaw town",175000,24.51,7139.94288045696
"51","Oak Island town",250000,34.96,7151.02974828375
"52","Navassa town",250000,33.74,7409.60284528749
"53","New Bern city",249760,33.56,7442.19308700834
"54","New Bern city",250000,33.56,7449.34445768772
"55","Bethania town",250000,32.95,7587.25341426404
"56","Butters CDP",132000,16.92,7801.41843971631
"57","Bennett CDP",210000,25.9908860759494,8079.75531831996
"58","Fearrington Village CDP",210000,25.9908860759494,8079.75531831996
"59","Goldston town",210000,25.9908860759494,8079.75531831996
"60","Hallsboro CDP",175000,21,8333.33333333333
"61","Coats town",225250,25.9908860759494,8666.49945453129
"62","Cypress Landing CDP",225000,25.5,8823.52941176471
"63","Belville town",250000,28.11,8893.63215937389
"64","Delco CDP",175000,19.61,8924.01835798062
"65","Ingold CDP",250000,27.26,9170.94644167278
"66","Cove City town",249760,25.9908860759494,9609.5223252552
"67","Dover town",249760,25.9908860759494,9609.5223252552
"68","Beulaville town",250000,25.9908860759494,9618.75633133328
"69","Calypso town",250000,25.9908860759494,9618.75633133328
